ReportIDNumber,DetailLineNumber,PlayerName,TeamName,CenterText,G,PA,BF,AB,R,H,S,D,T,HR,TB,OE,FC,BB,HP,HB,CO,SO,SH,SF,DP,SB,CS,RBI,CHS,LHS,C,A,E,PB,IP,ER,WP,Bk,PO,PickOff,Ball,Strike,TP,GS,GF,CG,W,L,Sv,Sho,BA,FA,OBP,SLG,PP,RC,TA,SBA,CSA,Rng,ERA,SOG,WHIP,SPct,User1,User2,User3,User4,User5,UserS1,UserS2,UserS3,UserS4,UserS5
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Tom Hauser               ",,,,,,,,,,,,,,,,"645",,,,,,,,,,,,,,,,,"3,314.0",,,,,,,,,,,,"264","210",,,,,,,,,,,,,,,,,"96",,,,,,,,,
1,3,"Steve Rapps              ",,,,,,,,,,,,,,,,"786",,,,,,,,,,,,,,,,,"3,374.0",,,,,,,,,,,,"249","249",,,,,,,,,,,,,,,,,"105",,,,,,,,,
1,4,"Bob Baker                ",,,,,,,,,,,,,,,,"337",,,,,,,,,,,,,,,,,"2,107.0",,,,,,,,,,,,"162","136",,,,,,,,,,,,,,,,,"67",,,,,,,,,
1,5,"Steve Wilson             ",,,,,,,,,,,,,,,,"292",,,,,,,,,,,,,,,,,"1,871.0",,,,,,,,,,,,"154","119",,,,,,,,,,,,,,,,,"25",,,,,,,,,
1,6,"Hank Culley              ",,,,,,,,,,,,,,,,"275",,,,,,,,,,,,,,,,,"1,795.0",,,,,,,,,,,,"149","113",,,,,,,,,,,,,,,,,"61",,,,,,,,,
1,7,"Jack Seddon              ",,,,,,,,,,,,,,,,"340",,,,,,,,,,,,,,,,,"1,873.0",,,,,,,,,,,,"145","131",,,,,,,,,,,,,,,,,"55",,,,,,,,,
1,8,"Ken Young                ",,,,,,,,,,,,,,,,"392",,,,,,,,,,,,,,,,,"1,940.0",,,,,,,,,,,,"133","125",,,,,,,,,,,,,,,,,"52",,,,,,,,,
1,9,"Jeff Boyden              ",,,,,,,,,,,,,,,,"317",,,,,,,,,,,,,,,,,"1,572.0",,,,,,,,,,,,"116","115",,,,,,,,,,,,,,,,,"19",,,,,,,,,
1,10,"John Rebardo             ",,,,,,,,,,,,,,,,"357",,,,,,,,,,,,,,,,,"1,440.0",,,,,,,,,,,,"107","100",,,,,,,,,,,,,,,,,"51",,,,,,,,,
1,11,"Joe Phipps               ",,,,,,,,,,,,,,,,"237",,,,,,,,,,,,,,,,,"1,247.0",,,,,,,,,,,,"106","75",,,,,,,,,,,,,,,,,"23",,,,,,,,,
1,12,"Dan Sapochetti           ",,,,,,,,,,,,,,,,"345",,,,,,,,,,,,,,,,,"1,642.0",,,,,,,,,,,,"103","132",,,,,,,,,,,,,,,,,"50",,,,,,,,,
1,13,"Bud Shelley              ",,,,,,,,,,,,,,,,"129",,,,,,,,,,,,,,,,,"1,154.0",,,,,,,,,,,,"99","66",,,,,,,,,,,,,,,,,"34",,,,,,,,,
1,14,"Charlie Wilson           ",,,,,,,,,,,,,,,,"202",,,,,,,,,,,,,,,,,"1,298.0",,,,,,,,,,,,"94","96",,,,,,,,,,,,,,,,,"24",,,,,,,,,
1,15,"Craig Dahlquist          ",,,,,,,,,,,,,,,,"334",,,,,,,,,,,,,,,,,"1,223.0",,,,,,,,,,,,"94","88",,,,,,,,,,,,,,,,,"31",,,,,,,,,
1,16,"Gary Nutley              ",,,,,,,,,,,,,,,,"127",,,,,,,,,,,,,,,,,"1,242.0",,,,,,,,,,,,"88","96",,,,,,,,,,,,,,,,,"42",,,,,,,,,
1,17,"Dennis Graves            ",,,,,,,,,,,,,,,,"334",,,,,,,,,,,,,,,,,"1,275.0",,,,,,,,,,,,"84","104",,,,,,,,,,,,,,,,,"18",,,,,,,,,
1,18,"Larry Wizauer            ",,,,,,,,,,,,,,,,"283",,,,,,,,,,,,,,,,,"1,286.0",,,,,,,,,,,,"83","105",,,,,,,,,,,,,,,,,"29",,,,,,,,,
1,19,"Don Geisler              ",,,,,,,,,,,,,,,,"113",,,,,,,,,,,,,,,,,"905.0",,,,,,,,,,,,"81","50",,,,,,,,,,,,,,,,,"21",,,,,,,,,
1,20,"Mark Brimer              ",,,,,,,,,,,,,,,,"122",,,,,,,,,,,,,,,,,"1,211.0",,,,,,,,,,,,"79","97",,,,,,,,,,,,,,,,,"30",,,,,,,,,
1,21,"Steve White              ",,,,,,,,,,,,,,,,"208",,,,,,,,,,,,,,,,,"950.0",,,,,,,,,,,,"67","69",,,,,,,,,,,,,,,,,"14",,,,,,,,,
1,22,"Chris Margevicius        ",,,,,,,,,,,,,,,,"85",,,,,,,,,,,,,,,,,"755.0",,,,,,,,,,,,"60","51",,,,,,,,,,,,,,,,,"23",,,,,,,,,
1,23,"Tom Simmons              ",,,,,,,,,,,,,,,,"334",,,,,,,,,,,,,,,,,"908.0",,,,,,,,,,,,"54","77",,,,,,,,,,,,,,,,,"18",,,,,,,,,
1,24,"John Cahill              ",,,,,,,,,,,,,,,,"261",,,,,,,,,,,,,,,,,"737.0",,,,,,,,,,,,"50","61",,,,,,,,,,,,,,,,,"24",,,,,,,,,
1,25,"Bob Farley               ",,,,,,,,,,,,,,,,"187",,,,,,,,,,,,,,,,,"737.0",,,,,,,,,,,,"45","62",,,,,,,,,,,,,,,,,"25",,,,,,,,,
1,26,"Doug Domeier             ",,,,,,,,,,,,,,,,"94",,,,,,,,,,,,,,,,,"465.0",,,,,,,,,,,,"44","23",,,,,,,,,,,,,,,,,"27",,,,,,,,,
1,27,"C.J. O'Neill             ",,,,,,,,,,,,,,,,"118",,,,,,,,,,,,,,,,,"696.0",,,,,,,,,,,,"42","64",,,,,,,,,,,,,,,,,"14",,,,,,,,,
1,28,"Ernie Vandersteen        ",,,,,,,,,,,,,,,,"139",,,,,,,,,,,,,,,,,"580.0",,,,,,,,,,,,"41","44",,,,,,,,,,,,,,,,,"39",,,,,,,,,
1,29,"Avalanche Subs           ",,,,,,,,,,,,,,,,"109",,,,,,,,,,,,,,,,,"539.0",,,,,,,,,,,,"39","38",,,,,,,,,,,,,,,,,"7",,,,,,,,,
1,30,"Kevin Hayes              ",,,,,,,,,,,,,,,,"27",,,,,,,,,,,,,,,,,"414.0",,,,,,,,,,,,"37","23",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,31,"Jamie Hall               ",,,,,,,,,,,,,,,,"82",,,,,,,,,,,,,,,,,"501.0",,,,,,,,,,,,"35","41",,,,,,,,,,,,,,,,,"23",,,,,,,,,
1,32,"Mac MacAulay             ",,,,,,,,,,,,,,,,"92",,,,,,,,,,,,,,,,,"520.0",,,,,,,,,,,,"33","43",,,,,,,,,,,,,,,,,"20",,,,,,,,,
1,33,"Donny Meyer              ",,,,,,,,,,,,,,,,"161",,,,,,,,,,,,,,,,,"489.0",,,,,,,,,,,,"32","38",,,,,,,,,,,,,,,,,"8",,,,,,,,,
1,34,"Phil D'Adamo             ",,,,,,,,,,,,,,,,"35",,,,,,,,,,,,,,,,,"385.0",,,,,,,,,,,,"31","25",,,,,,,,,,,,,,,,,"7",,,,,,,,,
1,35,"Tom Fichtner             ",,,,,,,,,,,,,,,,"140",,,,,,,,,,,,,,,,,"454.0",,,,,,,,,,,,"30","36",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,36,"Don Barnes               ",,,,,,,,,,,,,,,,"161",,,,,,,,,,,,,,,,,"349.0",,,,,,,,,,,,"29","22",,,,,,,,,,,,,,,,,"10",,,,,,,,,
1,37,"Chris Maggio             ",,,,,,,,,,,,,,,,"198",,,,,,,,,,,,,,,,,"442.0",,,,,,,,,,,,"27","39",,,,,,,,,,,,,,,,,"7",,,,,,,,,
1,38,"Islanders Subs           ",,,,,,,,,,,,,,,,"76",,,,,,,,,,,,,,,,,"361.0",,,,,,,,,,,,"26","26",,,,,,,,,,,,,,,,,"8",,,,,,,,,
1,39,"Jim Bellinger            ",,,,,,,,,,,,,,,,"33",,,,,,,,,,,,,,,,,"360.0",,,,,,,,,,,,"25","27",,,,,,,,,,,,,,,,,"8",,,,,,,,,
1,40,"Mike Guadagnolo          ",,,,,,,,,,,,,,,,"54",,,,,,,,,,,,,,,,,"311.0",,,,,,,,,,,,"25","20",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,41,"Larry Webb               ",,,,,,,,,,,,,,,,"33",,,,,,,,,,,,,,,,,"290.0",,,,,,,,,,,,"24","16",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,42,"Mark Golden              ",,,,,,,,,,,,,,,,"49",,,,,,,,,,,,,,,,,"206.0",,,,,,,,,,,,"19","12",,,,,,,,,,,,,,,,,"8",,,,,,,,,
1,43,"Rebels Subs              ",,,,,,,,,,,,,,,,"69",,,,,,,,,,,,,,,,,"299.0",,,,,,,,,,,,"17","25",,,,,,,,,,,,,,,,,"6",,,,,,,,,
1,44,"Bob Brooke               ",,,,,,,,,,,,,,,,"49",,,,,,,,,,,,,,,,,"202.0",,,,,,,,,,,,"17","11",,,,,,,,,,,,,,,,,"5",,,,,,,,,
1,45,"Mighty Ducks Subs        ",,,,,,,,,,,,,,,,"31",,,,,,,,,,,,,,,,,"206.0",,,,,,,,,,,,"16","11",,,,,,,,,,,,,,,,,"13",,,,,,,,,
1,46,"Rich Ostrowski           ",,,,,,,,,,,,,,,,"55",,,,,,,,,,,,,,,,,"240.0",,,,,,,,,,,,"15","19",,,,,,,,,,,,,,,,,"5",,,,,,,,,
1,47,"Flames Subs              ",,,,,,,,,,,,,,,,"45",,,,,,,,,,,,,,,,,"185.0",,,,,,,,,,,,"15","11",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,48,"Craig Horton             ",,,,,,,,,,,,,,,,"36",,,,,,,,,,,,,,,,,"156.0",,,,,,,,,,,,"15","9",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,49,"Rangers Subs             ",,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,"152.0",,,,,,,,,,,,"15","7",,,,,,,,,,,,,,,,,"5",,,,,,,,,
1,50,"Vipers Subs              ",,,,,,,,,,,,,,,,"69",,,,,,,,,,,,,,,,,"239.0",,,,,,,,,,,,"14","20",,,,,,,,,,,,,,,,,"18",,,,,,,,,
1,51,"Hurricanes Subs          ",,,,,,,,,,,,,,,,"36",,,,,,,,,,,,,,,,,"195.0",,,,,,,,,,,,"14","15",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,52,"Troy Soeder              ",,,,,,,,,,,,,,,,"39",,,,,,,,,,,,,,,,,"152.0",,,,,,,,,,,,"14","8",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,53,"Giants Subs              ",,,,,,,,,,,,,,,,"22",,,,,,,,,,,,,,,,,"145.0",,,,,,,,,,,,"14","7",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,54,"Michael Jeffries         ",,,,,,,,,,,,,,,,"105",,,,,,,,,,,,,,,,,"294.0",,,,,,,,,,,,"13","29",,,,,,,,,,,,,,,,,"6",,,,,,,,,
1,55,"Stars Subs               ",,,,,,,,,,,,,,,,"49",,,,,,,,,,,,,,,,,"233.0",,,,,,,,,,,,"13","22",,,,,,,,,,,,,,,,,"8",,,,,,,,,
1,56,"Doug Moffatt             ",,,,,,,,,,,,,,,,"84",,,,,,,,,,,,,,,,,"217.0",,,,,,,,,,,,"13","19",,,,,,,,,,,,,,,,,"6",,,,,,,,,
1,57,"Patriots Subs            ",,,,,,,,,,,,,,,,"45",,,,,,,,,,,,,,,,,"203.0",,,,,,,,,,,,"13","16",,,,,,,,,,,,,,,,,"11",,,,,,,,,
1,58,"Tom Kehne                ",,,,,,,,,,,,,,,,"73",,,,,,,,,,,,,,,,,"195.0",,,,,,,,,,,,"13","15",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,59,"Lightning Subs           ",,,,,,,,,,,,,,,,"39",,,,,,,,,,,,,,,,,"164.0",,,,,,,,,,,,"13","11",,,,,,,,,,,,,,,,,"12",,,,,,,,,
1,60,"Tom Curley               ",,,,,,,,,,,,,,,,"56",,,,,,,,,,,,,,,,,"198.0",,,,,,,,,,,,"12","17",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,61,"Bruins Subs              ",,,,,,,,,,,,,,,,"25",,,,,,,,,,,,,,,,,"172.0",,,,,,,,,,,,"12","13",,,,,,,,,,,,,,,,,"5",,,,,,,,,
1,62,"Bill DiCarlo             ",,,,,,,,,,,,,,,,"70",,,,,,,,,,,,,,,,,"178.0",,,,,,,,,,,,"11","15",,,,,,,,,,,,,,,,,"5",,,,,,,,,
1,63,"Ron Bormann              ",,,,,,,,,,,,,,,,"29",,,,,,,,,,,,,,,,,"134.0",,,,,,,,,,,,"11","9",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,64,"Floyd Williams           ",,,,,,,,,,,,,,,,"25",,,,,,,,,,,,,,,,,"150.0",,,,,,,,,,,,"9","13",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,65,"Team USA Subs            ",,,,,,,,,,,,,,,,"34",,,,,,,,,,,,,,,,,"142.0",,,,,,,,,,,,"9","11",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,66,"Bob Riley                ",,,,,,,,,,,,,,,,"43",,,,,,,,,,,,,,,,,"135.0",,,,,,,,,,,,"9","12",,,,,,,,,,,,,,,,,"12",,,,,,,,,
1,67,"Roger Scott              ",,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,"117.0",,,,,,,,,,,,"9","8",,,,,,,,,,,,,,,,,"2",,,,,,,,,
1,68,"Linwood Manning          ",,,,,,,,,,,,,,,,"113",,,,,,,,,,,,,,,,,"235.0",,,,,,,,,,,,"8","27",,,,,,,,,,,,,,,,,"17",,,,,,,,,
1,69,"Canucks Subs             ",,,,,,,,,,,,,,,,"36",,,,,,,,,,,,,,,,,"158.0",,,,,,,,,,,,"8","14",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,70,"John Vanarnhem           ",,,,,,,,,,,,,,,,"56",,,,,,,,,,,,,,,,,"127.0",,,,,,,,,,,,"8","10",,,,,,,,,,,,,,,,,"11",,,,,,,,,
1,71,"Clippers Subs            ",,,,,,,,,,,,,,,,"23",,,,,,,,,,,,,,,,,"116.0",,,,,,,,,,,,"8","10",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,72,"Jim Wulff                ",,,,,,,,,,,,,,,,"45",,,,,,,,,,,,,,,,,"116.0",,,,,,,,,,,,"8","10",,,,,,,,,,,,,,,,,"2",,,,,,,,,
1,73,"Steve Long               ",,,,,,,,,,,,,,,,"39",,,,,,,,,,,,,,,,,"155.0",,,,,,,,,,,,"7","15",,,,,,,,,,,,,,,,,"4",,,,,,,,,
1,74,"Wolverines Subs          ",,,,,,,,,,,,,,,,"12",,,,,,,,,,,,,,,,,"101.0",,,,,,,,,,,,"7","8",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,75,"Don Duell                ",,,,,,,,,,,,,,,,"23",,,,,,,,,,,,,,,,,"84.0",,,,,,,,,,,,"7","6",,,,,,,,,,,,,,,,,"2",,,,,,,,,
1,76,"Relics Subs              ",,,,,,,,,,,,,,,,"9",,,,,,,,,,,,,,,,,"75.0",,,,,,,,,,,,"7","4",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,77,"Jan Held                 ",,,,,,,,,,,,,,,,"38",,,,,,,,,,,,,,,,,"115.0",,,,,,,,,,,,"6","9",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,78,"Woody Byars              ",,,,,,,,,,,,,,,,"59",,,,,,,,,,,,,,,,,"105.0",,,,,,,,,,,,"6","10",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,79,"Steve Mills              ",,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,"68.0",,,,,,,,,,,,"6","5",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,80,"Pat Perkins              ",,,,,,,,,,,,,,,,"21",,,,,,,,,,,,,,,,,"56.0",,,,,,,,,,,,"6","2",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,81,"Mo",,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"48.0",,,,,,,,,,,,"5","2",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,82,"Raptors Subs             ",,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,"46.0",,,,,,,,,,,,"5","2",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,83,"Bearcats Subs            ",,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,"35.0",,,,,,,,,,,,"5","0",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,84,"Bill Dunn                ",,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"35.0",,,,,,,,,,,,"5","0",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,85,"Flyers Subs              ",,,,,,,,,,,,,,,,"27",,,,,,,,,,,,,,,,,"104.0",,,,,,,,,,,,"4","11",,,,,,,,,,,,,,,,,"3",,,,,,,,,
1,86,"Ed Krisha                ",,,,,,,,,,,,,,,,"9",,,,,,,,,,,,,,,,,"96.0",,,,,,,,,,,,"4","10",,,,,,,,,,,,,,,,,"1",,,,,,,,,
1,87,"Bill Cecil               ",,,,,,,,,,,,,,,,"64",,,,,,,,,,,,,,,,,"79.0",,,,,,,,,,,,"4","6",,,,,,,,,,,,,,,,,"0",,,,,,,,,
1,88,"North Stars Subs         ",,,,,,,,,,,,,,,,"26",,,,,,,,,,,,,,,,,"78.0",,,,,,,,,,,,"4","7",,,,,,,,,,,,,,,,,"1",,,,,,,,,
